ALPHA,K_ALPHA,TX,TOTAL,RATIO,DIST
0.1,0.536529541,936,135065,0.00692999666827,0.0349667246063
0.11,0.504638672,936,135065,0.00692999666827,0.0349667246063
0.12,0.477325439,936,135065,0.00692999666827,0.0349667246063
0.13,0.453224182,936,135065,0.00692999666827,0.0349667246063
0.14,0.431503296,936,135065,0.00692999666827,0.0349667246063
0.15,0.412162781,936,135065,0.00692999666827,0.0349667246063
0.16,0.394607544,936,135065,0.00692999666827,0.0349667246063
0.17,0.378540039,936,135065,0.00692999666827,0.0349667246063
0.18,0.363960266,936,135065,0.00692999666827,0.0349667246063
0.19,0.350273132,936,135065,0.00692999666827,0.0349667246063
0.2,0.337776184,936,135065,0.00692999666827,0.0349667246063
0.21,0.326171875,11831,135065,0.0875948617332,0.0261830319252
0.22,0.315162659,46366,135065,0.343286565728,1.96632967125e-06
0.23,0.305046082,46366,135065,0.343286565728,1.96632967125e-06
0.24,0.295375824,46366,135065,0.343286565728,1.96632967125e-06
0.25,0.286300659,46366,135065,0.343286565728,1.96632967125e-06
0.26,0.277671814,46366,135065,0.343286565728,1.96632967125e-06
0.27,0.269638062,46366,135065,0.343286565728,1.96632967125e-06
0.28,0.261901855,46366,135065,0.343286565728,1.96632967125e-06
0.29,0.254463196,46366,135065,0.343286565728,1.96632967125e-06
0.3,0.247503281,46366,135065,0.343286565728,1.96632967125e-06
0.31,0.240722656,46366,135065,0.343286565728,1.96632967125e-06
0.32,0.234243393,46366,135065,0.343286565728,1.96632967125e-06
0.33,0.228065491,46366,135065,0.343286565728,1.96632967125e-06
0.34,0.222113609,46366,135065,0.343286565728,1.96632967125e-06
0.35,0.216387749,46366,135065,0.343286565728,1.96632967125e-06
0.36,0.210812569,46366,135065,0.343286565728,1.96632967125e-06
0.37,0.205463409,46366,135065,0.343286565728,1.96632967125e-06
0.38,0.200264931,46366,135065,0.343286565728,1.96632967125e-06
0.39,0.195217133,46366,135065,0.343286565728,1.96632967125e-06
0.4,0.190320015,46366,135065,0.343286565728,1.96632967125e-06
0.41,0.185573578,46366,135065,0.343286565728,1.96632967125e-06
0.42,0.180977821,46366,135065,0.343286565728,1.96632967125e-06
0.43,0.176457405,46366,135065,0.343286565728,1.96632967125e-06
0.44,0.172087669,46366,135065,0.343286565728,1.96632967125e-06
0.45,0.167793274,46366,135065,0.343286565728,1.96632967125e-06
0.46,0.163574219,46366,135065,0.343286565728,1.96632967125e-06
0.47,0.159505844,46366,135065,0.343286565728,1.96632967125e-06
0.48,0.15551281,46366,135065,0.343286565728,1.96632967125e-06
0.49,0.151595116,46366,135065,0.343286565728,1.96632967125e-06
0.5,0.147752762,46366,135065,0.343286565728,1.96632967125e-06
0.51,0.143985748,46366,135065,0.343286565728,1.96632967125e-06
0.52,0.140294075,46366,135065,0.343286565728,1.96632967125e-06
0.53,0.136602402,46366,135065,0.343286565728,1.96632967125e-06
0.54,0.133061409,46366,135065,0.343286565728,1.96632967125e-06
0.55,0.129520416,46366,135065,0.343286565728,1.96632967125e-06
0.56,0.126054764,46366,135065,0.343286565728,1.96632967125e-06
0.57,0.122698784,46366,135065,0.343286565728,1.96632967125e-06
0.58,0.119287014,46366,135065,0.343286565728,1.96632967125e-06
0.59,0.116026878,46366,135065,0.343286565728,1.96632967125e-06
0.6,0.112728834,46366,135065,0.343286565728,1.96632967125e-06
0.61,0.109506607,46366,135065,0.343286565728,1.96632967125e-06
0.62,0.106322289,46366,135065,0.343286565728,1.96632967125e-06
0.63,0.10313797,46366,135065,0.343286565728,1.96632967125e-06
0.64,0.100029469,46366,135065,0.343286565728,1.96632967125e-06
0.65,0.096958876,46366,135065,0.343286565728,1.96632967125e-06
0.66,0.093888283,46366,135065,0.343286565728,1.96632967125e-06
0.67,0.090855598,46366,135065,0.343286565728,1.96632967125e-06
0.68,0.087898731,46366,135065,0.343286565728,1.96632967125e-06
0.69,0.084903955,46366,135065,0.343286565728,1.96632967125e-06
0.7,0.081984997,46366,135065,0.343286565728,1.96632967125e-06
0.71,0.07902813,46366,135065,0.343286565728,1.96632967125e-06
0.72,0.076147079,46366,135065,0.343286565728,1.96632967125e-06
0.73,0.073266029,46366,135065,0.343286565728,1.96632967125e-06
0.74,0.070384979,46366,135065,0.343286565728,1.96632967125e-06
0.75,0.067579746,46366,135065,0.343286565728,1.96632967125e-06
0.76,0.064774513,46366,135065,0.343286565728,1.96632967125e-06
0.77,0.061938405,46366,135065,0.343286565728,1.96632967125e-06
0.78,0.059162378,46366,135065,0.343286565728,1.96632967125e-06
0.79,0.056386352,46366,135065,0.343286565728,1.96632967125e-06
0.8,0.053610325,46366,135065,0.343286565728,1.96632967125e-06
0.81,0.050872326,46366,135065,0.343286565728,1.96632967125e-06
0.82,0.048134327,46366,135065,0.343286565728,1.96632967125e-06
0.83,0.045396328,46366,135065,0.343286565728,1.96632967125e-06
0.84,0.042658329,46366,135065,0.343286565728,1.96632967125e-06
0.85,0.039996386,46366,135065,0.343286565728,1.96632967125e-06
0.86,0.037258387,46366,135065,0.343286565728,1.96632967125e-06
0.87,0.034596443,46366,135065,0.343286565728,1.96632967125e-06
0.88,0.031896472,46366,135065,0.343286565728,1.96632967125e-06
0.89,0.02922219,46366,135065,0.343286565728,1.96632967125e-06
0.9,0.026556075,46366,135065,0.343286565728,1.96632967125e-06
0.91,0.023851871,46366,135065,0.343286565728,1.96632967125e-06
0.92,0.021223843,46366,135065,0.343286565728,1.96632967125e-06
0.93,0.018557727,46366,135065,0.343286565728,1.96632967125e-06
0.94,0.015891612,46366,135065,0.343286565728,1.96632967125e-06
0.95,0.013225138,46366,135065,0.343286565728,1.96632967125e-06
0.96,0.010595053,46366,135065,0.343286565728,1.96632967125e-06
0.97,0.007964969,46366,135065,0.343286565728,1.96632967125e-06
0.98,0.005279005,46366,135065,0.343286565728,1.96632967125e-06
0.99,0.002639636,46366,135065,0.343286565728,1.96632967125e-06
