ALPHA,K_ALPHA,TX,TOTAL,RATIO,DIST
0.1,0.06103870595,46366,135065,0.343286565728,1.96632967125e-06
0.11,0.05426341032,46366,135065,0.343286565728,1.96632967125e-06
0.12,0.04873085334,46366,135065,0.343286565728,1.96632967125e-06
0.13,0.04405576148,46366,135065,0.343286565728,1.96632967125e-06
0.14,0.04000871916,46366,135065,0.343286565728,1.96632967125e-06
0.15,0.03653834332,46366,135065,0.343286565728,1.96632967125e-06
0.16,0.03349759048,46366,135065,0.343286565728,1.96632967125e-06
0.17,0.03080639583,46366,135065,0.343286565728,1.96632967125e-06
0.18,0.02844122382,46366,135065,0.343286565728,1.96632967125e-06
0.19,0.02628827038,46366,135065,0.343286565728,1.96632967125e-06
0.2,0.0243804119,46366,135065,0.343286565728,1.96632967125e-06
0.21,0.02265914252,46366,135065,0.343286565728,1.96632967125e-06
0.22,0.02107176182,46366,135065,0.343286565728,1.96632967125e-06
0.23,0.0196530273,46366,135065,0.343286565728,1.96632967125e-06
0.24,0.01833339469,46366,135065,0.343286565728,1.96632967125e-06
0.25,0.01712814087,46366,135065,0.343286565728,1.96632967125e-06
0.26,0.01601262465,46366,135065,0.343286565728,1.96632967125e-06
0.27,0.01500134899,46366,135065,0.343286565728,1.96632967125e-06
0.28,0.01405299655,46366,135065,0.343286565728,1.96632967125e-06
0.29,0.01316523692,46366,135065,0.343286565728,1.96632967125e-06
0.3,0.01235652564,46366,135065,0.343286565728,1.96632967125e-06
0.31,0.01158949494,46366,135065,0.343286565728,1.96632967125e-06
0.32,0.01087621998,46366,135065,0.343286565728,1.96632967125e-06
0.33,0.01021442316,46366,135065,0.343286565728,1.96632967125e-06
0.34,0.00959410785,46366,135065,0.343286565728,1.96632967125e-06
0.35,0.00901368362,46366,135065,0.343286565728,1.96632967125e-06
0.36,0.00846424297,46366,135065,0.343286565728,1.96632967125e-06
0.37,0.00795193591,46366,135065,0.343286565728,1.96632967125e-06
0.38,0.00746826771,46366,135065,0.343286565728,1.96632967125e-06
0.39,0.00701226322,46366,135065,0.343286565728,1.96632967125e-06
0.4,0.00658293937,46366,135065,0.343286565728,1.96632967125e-06
0.41,0.00617930704,46366,135065,0.343286565728,1.96632967125e-06
0.42,0.00580037326,46366,135065,0.343286565728,1.96632967125e-06
0.43,0.0054392195,46366,135065,0.343286565728,1.96632967125e-06
0.44,0.00510115125,46366,135065,0.343286565728,1.96632967125e-06
0.45,0.00477961884,46366,135065,0.343286565728,1.96632967125e-06
0.46,0.00447417587,46366,135065,0.343286565728,1.96632967125e-06
0.47,0.00418954487,46366,135065,0.343286565728,1.96632967125e-06
0.48,0.0039197207,46366,135065,0.343286565728,1.96632967125e-06
0.49,0.00366423664,46366,135065,0.343286565728,1.96632967125e-06
0.5,0.00342261995,46366,135065,0.343286565728,1.96632967125e-06
0.51,0.00319439302,46366,135065,0.343286565728,1.96632967125e-06
0.52,0.00297907463,46366,135065,0.343286565728,1.96632967125e-06
0.53,0.0027720389,46366,135065,0.343286565728,1.96632967125e-06
0.54,0.00258124841,46366,135065,0.343286565728,1.96632967125e-06
0.55,0.00239809334,46366,135065,0.343286565728,1.96632967125e-06
0.56,0.00222622264,46366,135065,0.343286565728,1.96632967125e-06
0.57,0.00206674169,47512,135065,0.351771369341,1.92900471742e-06
0.58,0.00191159744,62081,135065,0.459637952097,1.51394266304e-06
0.59,0.00176990213,78922,135065,0.584326065228,1.09543471549e-06
0.6,0.00163303891,108020,135065,0.799763077037,4.65898870544e-07
0.61,0.00150557262,126392,135065,0.93578647318,1.37157880117e-07
0.62,0.00138562546,135010,135065,0.999592788657,7.7661759153e-10
0.63,0.00127160531,135065,135065,1.0,0.0
0.64,0.00116595511,135065,135065,1.0,0.0
0.65,0.00106701201,135065,135065,1.0,0.0
0.66,0.00097338178,135065,135065,1.0,0.0
0.67,0.00088604472,135065,135065,1.0,0.0
0.68,0.00080572661,135065,135065,1.0,0.0
0.69,0.00072915897,135065,135065,1.0,0.0
0.7,0.00065907054,135065,135065,1.0,0.0
0.71,0.00059254672,135065,135065,1.0,0.0
0.72,0.00053196364,135065,135065,1.0,0.0
0.73,0.00047545967,135065,135065,1.0,0.0
0.74,0.00042292939,135065,135065,1.0,0.0
0.75,0.00037549427,135065,135065,1.0,0.0
0.76,0.00033161456,135065,135065,1.0,0.0
0.77,0.00029075244,135065,135065,1.0,0.0
0.78,0.00025404983,135065,135065,1.0,0.0
0.79,0.00022048848,135065,135065,1.0,0.0
0.8,0.00018994787,135065,135065,1.0,0.0
0.81,0.00016266337,135065,135065,1.0,0.0
0.82,0.00013807369,135065,135065,1.0,0.0
0.83,0.0001160527,135065,135065,1.0,0.0
0.84,9.647115e-05,135065,135065,1.0,0.0
0.85,7.964667e-05,135065,135065,1.0,0.0
0.86,6.448594e-05,135065,135065,1.0,0.0
0.87,5.170174e-05,135065,135065,1.0,0.0
0.88,4.057093e-05,135065,135065,1.0,0.0
0.89,3.123536e-05,135065,135065,1.0,0.0
0.9,2.346772e-05,135065,135065,1.0,0.0
0.91,1.702062e-05,135065,135065,1.0,0.0
0.92,1.20019e-05,135065,135065,1.0,0.0
0.93,8.02936e-06,135065,135065,1.0,0.0
0.94,5.04537e-06,135065,135065,1.0,0.0
0.95,2.90956e-06,135065,135065,1.0,0.0
0.96,1.49667e-06,135065,135065,1.0,0.0
0.97,6.3609e-07,135065,135065,1.0,0.0
0.98,1.8524e-07,135065,135065,1.0,0.0
0.99,2.316e-08,135065,135065,1.0,0.0
