-ALPHA-     -K_ALPHA-     -TX-     -TOTAL-
0.1  0.06103870595    23223    65462
0.11  0.05426341032    23223    65462
0.12  0.04873085334    23223    65462
0.13  0.04405576148    23223    65462
0.14  0.04000871916    23223    65462
0.15  0.03653834332    23223    65462
0.16  0.03349759048    23223    65462
0.17  0.03080639583    23223    65462
0.18  0.02844122382    23223    65462
0.19  0.02628827038    23223    65462
0.2  0.0243804119    23223    65462
0.21  0.02265914252    23223    65462
0.22  0.02107176182    23223    65462
0.23  0.0196530273    23223    65462
0.24  0.01833339469    23223    65462
0.25  0.01712814087    23223    65462
0.26  0.01601262465    23223    65462
0.27  0.01500134899    23223    65462
0.28  0.01405299655    23223    65462
0.29  0.01316523692    23223    65462
0.3  0.01235652564    23223    65462
0.31  0.01158949494    23223    65462
0.32  0.01087621998    23223    65462
0.33  0.01021442316    23223    65462
0.34  0.00959410785    23223    65462
0.35  0.00901368362    23223    65462
0.36  0.00846424297    23223    65462
0.37  0.00795193591    23223    65462
0.38  0.00746826771    23223    65462
0.39  0.00701226322    23223    65462
0.4  0.00658293937    23223    65462
0.41  0.00617930704    23223    65462
0.42  0.00580037326    23223    65462
0.43  0.0054392195    23223    65462
0.44  0.00510115125    23223    65462
0.45  0.00477961884    23223    65462
0.46  0.00447417587    23223    65462
0.47  0.00418954487    23223    65462
0.48  0.0039197207    23223    65462
0.49  0.00366423664    23223    65462
0.5  0.00342261995    23223    65462
0.51  0.00319439302    23223    65462
0.52  0.00297907463    23223    65462
0.53  0.0027720389    23223    65462
0.54  0.00258124841    23223    65462
0.55  0.00239809334    23223    65462
0.56  0.00222622264    23223    65462
0.57  0.00206674169    23223    65462
0.58  0.00191159744    25201    65462
0.59  0.00176990213    28708    65462
0.6  0.00163303891    44374    65462
0.61  0.00150557262    56831    65462
0.62  0.00138562546    65407    65462
0.63  0.00127160531    65462    65462
0.64  0.00116595511    65462    65462
0.65  0.00106701201    65462    65462
0.66  0.00097338178    65462    65462
0.67  0.00088604472    65462    65462
0.68  0.00080572661    65462    65462
0.69  0.00072915897    65462    65462
0.7  0.00065907054    65462    65462
0.71  0.00059254672    65462    65462
0.72  0.00053196364    65462    65462
0.73  0.00047545967    65462    65462
0.74  0.00042292939    65462    65462
0.75  0.00037549427    65462    65462
0.76  0.00033161456    65462    65462
0.77  0.00029075244    65462    65462
0.78  0.00025404983    65462    65462
0.79  0.00022048848    65462    65462
0.8  0.00018994787    65462    65462
0.81  0.00016266337    65462    65462
0.82  0.00013807369    65462    65462
0.83  0.0001160527    65462    65462
0.84  9.647115e-05    65462    65462
0.85  7.964667e-05    65462    65462
0.86  6.448594e-05    65462    65462
0.87  5.170174e-05    65462    65462
0.88  4.057093e-05    65462    65462
0.89  3.123536e-05    65462    65462
0.9  2.346772e-05    65462    65462
0.91  1.702062e-05    65462    65462
0.92  1.20019e-05    65462    65462
0.93  8.02936e-06    65462    65462
0.94  5.04537e-06    65462    65462
0.95  2.90956e-06    65462    65462
0.96  1.49667e-06    65462    65462
0.97  6.3609e-07    65462    65462
0.98  1.8524e-07    65462    65462
0.99  2.316e-08    65462    65462
